미국 USD,1461.30
유럽연합 EUR,1695.62
일본 JPY (100엔),944.27
중국 CNY,205.57
홍콩 HKD,188.01
대만 TWD,46.88
영국 GBP,1923.95
오만 OMR,3795.58
캐나다 CAD,1041.96
스위스 CHF,1838.58
스웨덴 SEK,154.67
호주 AUD,953.57
뉴질랜드 NZD,829.80
체코 CZK,70.20
칠레 CLP,1.58
튀르키예 TRY,34.52
몽골 MNT,0.41
이스라엘 ILS,453.26
덴마크 DKK,227.06
노르웨이 NOK,144.84
사우디아라비아 SAR,389.66
쿠웨이트 KWD,4764.44
바레인 BHD,3875.82
아랍에미리트 AED,397.85
요르단 JOD,2061.07
이집트 EGP,31.05
태국 THB,45.08
싱가포르 SGD,1122.65
말레이시아 MYR,351.99
인도네시아 IDR 100,8.76
카타르 QAR,400.87
카자흐스탄 KZT,2.79
브루나이 BND,1122.65
인도 INR,16.48
파키스탄 PKR,5.17
방글라데시 BDT,11.95
필리핀 PHP,24.81
멕시코 MXN,79.81
브라질 BRL,275.90
베트남 VND 100,5.55
남아프리카 공화국 ZAR,85.57
러시아 RUB,17.99
헝가리 HUF,4.42
폴란드 PLN,401.65
스리랑카 LKR,4.76
알제리 DZD,11.23
케냐 KES,11.28
콜롬비아 COP,0.39
탄자니아 TZS,0.60
네팔 NPR,10.30
루마니아 RON,333.53
리비아 LYD,267.86
마카오 MOP,182.39
미얀마 MMK,0.70
에티오피아 ETB,9.36
우즈베키스탄 UZS,0.12
캄보디아 KHR,0.36
피지 FJD,641.73
